iter	RMSE
0	2.886856995
1	2.731121348
2	2.594908151
3	2.478404961
4	2.37920233
5	2.294440839
6	2.223948201
7	2.164801459
8	2.116460635
9	2.075190971
10	2.040645396
11	2.011841288
12	1.988944709
13	1.968866316
14	1.952634206
15	1.937706106
16	1.925227821
17	1.9149721
18	1.906046287
19	1.898662177
20	1.892635716
21	1.887011514
22	1.882057166
23	1.877963566
24	1.873843406
25	1.870643001
26	1.867441571
27	1.864574144
28	1.861833883
29	1.859373478
30	1.85717593
31	1.854863959
32	1.853291233
33	1.851796317
34	1.850443525
35	1.848950726
36	1.847684387
37	1.846680144
38	1.845510279
39	1.844503757
40	1.842670016
41	1.841059475
42	1.839694803
43	1.83875323
44	1.837987128
45	1.837127158
46	1.836204931
47	1.835077878
48	1.834180214
49	1.83345618
50	1.832551648
51	1.831998725
52	1.830841968
53	1.830225194
54	1.829022177
55	1.828033933
56	1.827053409
57	1.82666697
58	1.825735849
59	1.824835144
60	1.823965796
61	1.82356295
62	1.822797089
63	1.821857712
64	1.821320554
65	1.820715067
66	1.819999868
67	1.819235049
68	1.818482067
69	1.817528733
70	1.816804872
71	1.816135256
72	1.815405696
73	1.814607618
74	1.814185784
75	1.813740894
76	1.812752861
77	1.811910248
78	1.811010154
79	1.810525338
80	1.809857248
81	1.809242674
82	1.808869031
83	1.808368592
84	1.808100231
85	1.80735881
86	1.806651707
87	1.806211834
88	1.805788928
89	1.804767437
90	1.803923342
91	1.803489513
92	1.802749184
93	1.802600326
94	1.801774229
95	1.801428502
96	1.800879533
97	1.800363891
98	1.799587498
99	1.799255548
100	1.798806733
101	1.797972209
102	1.797487846
103	1.796918608
104	1.796439198
105	1.795833396
106	1.795472396
107	1.795039562
108	1.794427133
109	1.793719732
110	1.792852291
111	1.792097963
112	1.791803768
113	1.791451685
114	1.791067399
115	1.790658475
116	1.790235983
117	1.790029185
118	1.789816315
119	1.788995424
120	1.78831433
121	1.787755472
122	1.787380234
123	1.787010479
124	1.786567868
125	1.786011398
126	1.785373739
127	1.784702165
128	1.784253689
129	1.783538898
130	1.782664438
131	1.782292567
132	1.781820898
133	1.780984925
134	1.780580046
135	1.78007919
136	1.77960542
137	1.779260452
138	1.778671564
139	1.778013807
140	1.777441969
141	1.7769813
142	1.776589224
143	1.775976472
144	1.775663113
145	1.775256911
146	1.775053436
147	1.774590278
148	1.774097608
149	1.773424999
150	1.773126872
151	1.772482939
152	1.771738302
153	1.771187841
154	1.770961337
155	1.770268656
156	1.769537904
157	1.76906048
158	1.768800782
159	1.768307271
160	1.767841236
161	1.767379325
162	1.766559192
163	1.766041685
164	1.765487589
165	1.764861723
166	1.764170392
167	1.763683505
168	1.763380773
169	1.762795277
170	1.762075723
171	1.761639855
172	1.761356539
173	1.760974083
174	1.760722803
175	1.760467055
176	1.759970288
177	1.759062879
178	1.758645412
179	1.757805896
180	1.757150498
181	1.756620599
182	1.756172147
183	1.755607743
184	1.754981663
185	1.754644101
186	1.75394066
187	1.753474272
188	1.752730262
189	1.75241055
190	1.752050773
191	1.751573621
192	1.750950669
193	1.750501237
194	1.750147693
195	1.749724705
196	1.749166523
197	1.748701458
198	1.748296396
199	1.747835541
200	1.747594755
201	1.747379878
202	1.747111109
203	1.746603714
204	1.74614974
205	1.745711966
206	1.745432737
207	1.745113499
208	1.744881963
209	1.744757879
210	1.744298488
211	1.743866062
212	1.743604384
213	1.743029256
214	1.74273423
215	1.742147631
216	1.741946232
217	1.74159627
218	1.741292135
219	1.740850311
220	1.740678348
221	1.740386531
222	1.739813382
223	1.739691678
224	1.73908348
225	1.73897115
226	1.738730957
227	1.738544072
228	1.737912553
229	1.737400879
230	1.737092171
231	1.736476843
232	1.736269428
233	1.735873948
234	1.735428859
235	1.73475441
236	1.734310494
237	1.733951649
238	1.733510675
239	1.732929919
240	1.732650957
241	1.732218797
242	1.731827654
243	1.73141581
244	1.731201823
245	1.730821092
246	1.73028271
247	1.730148532
248	1.729932414
249	1.729646042
250	1.729430031
251	1.72892851
252	1.728660967
253	1.727978144
254	1.727638529
255	1.727221847
256	1.726622682
257	1.726201175
258	1.726015161
259	1.725800648
260	1.72533324
261	1.724849584
262	1.724566345
263	1.724085797
264	1.723729141
265	1.723299693
266	1.722887185
267	1.722612716
268	1.722495626
269	1.722244477
270	1.721746205
271	1.721458538
272	1.721268122
273	1.720771415
274	1.72046187
275	1.720244821
276	1.719688238
277	1.719332673
278	1.718973608
279	1.718455888
280	1.718112541
281	1.717793427
282	1.717529013
283	1.717171064
284	1.716843564
285	1.716517552
286	1.716043316
287	1.715770887
288	1.715422022
289	1.714836826
290	1.714536046
291	1.714389166
292	1.713960089
293	1.713747735
294	1.71342331
295	1.713185666
296	1.712820614
297	1.712576467
298	1.712425876
299	1.711963516
300	1.71183931
301	1.711482506
302	1.711177791
303	1.710965328
304	1.710554011
305	1.710039629
306	1.709783052
307	1.709535352
308	1.709168095
309	1.70889401
310	1.708447503
311	1.708113805
312	1.707930486
313	1.707862005
314	1.70746382
315	1.707171055
316	1.706921038
317	1.706596489
318	1.706376734
319	1.705969745
320	1.705495367
321	1.705237491
322	1.704920964
323	1.704765492
324	1.704104938
325	1.703743762
326	1.703384944
327	1.703252498
328	1.702834553
329	1.702581075
330	1.702264015
331	1.701918264
332	1.701738058
333	1.701680464
334	1.701550342
335	1.701402878
336	1.701205036
337	1.700981012
338	1.700836626
339	1.700638039
340	1.700280014
341	1.699950159
342	1.699702374
343	1.699394603
344	1.699058776
345	1.698606537
346	1.698516073
347	1.698373589
348	1.698238688
349	1.698075086
350	1.697502661
351	1.697087039
352	1.69671007
353	1.696513407
354	1.696311611
355	1.696082485
356	1.695686295
357	1.695400257
358	1.695158318
359	1.694811215
360	1.694416842
361	1.694346202
362	1.694168572
363	1.693852531
364	1.693721128
365	1.693373535
366	1.693153984
367	1.692703016
368	1.692223264
369	1.691816148
370	1.691446841
371	1.691034095
372	1.690676552
373	1.690438537
