iter	Passed	Remaining
0	8	4378
1	13	3408
2	18	2976
3	22	2755
4	26	2627
5	31	2546
6	35	2508
7	40	2484
8	44	2428
9	49	2392
10	52	2342
11	56	2305
12	60	2268
13	65	2259
14	69	2242
15	73	2216
16	77	2202
17	81	2183
18	85	2165
19	90	2151
20	94	2135
21	98	2120
22	102	2110
23	106	2104
24	111	2101
25	115	2091
26	119	2084
27	123	2076
28	127	2068
29	132	2072
30	137	2069
31	141	2067
32	146	2057
33	150	2051
34	154	2047
35	159	2048
36	163	2039
37	167	2029
38	173	2037
39	177	2032
40	182	2035
41	187	2033
42	191	2027
43	195	2020
44	199	2012
45	203	2003
46	207	1994
47	212	1989
48	216	1982
49	220	1977
50	224	1971
51	228	1961
52	232	1954
53	236	1945
54	240	1940
55	245	1936
56	249	1930
57	253	1923
58	257	1918
59	262	1914
60	266	1910
61	270	1902
62	274	1893
63	278	1886
64	282	1881
65	286	1876
66	290	1870
67	295	1867
68	299	1862
69	303	1855
70	307	1849
71	311	1844
72	316	1839
73	319	1832
74	323	1825
75	327	1818
76	331	1813
77	335	1809
78	339	1803
79	343	1796
80	347	1790
81	352	1786
82	356	1780
83	360	1774
84	363	1766
85	367	1759
86	371	1753
87	375	1747
88	378	1739
89	382	1733
90	386	1727
91	389	1720
92	394	1716
93	398	1711
94	402	1707
95	406	1703
96	411	1699
97	415	1695
98	419	1690
99	424	1687
100	428	1682
101	432	1679
102	437	1676
103	441	1672
104	446	1669
105	449	1663
106	453	1658
107	457	1653
108	462	1649
109	466	1646
110	471	1643
111	475	1637
112	479	1632
113	483	1627
114	487	1622
115	490	1616
116	494	1611
117	499	1606
118	503	1602
119	507	1598
120	511	1593
121	515	1589
122	519	1585
123	524	1580
124	528	1576
125	532	1572
126	536	1567
127	540	1562
128	544	1557
129	548	1553
130	553	1550
131	557	1544
132	561	1540
133	565	1537
134	570	1532
135	574	1528
136	578	1524
137	582	1520
138	587	1516
139	591	1512
140	595	1508
141	600	1504
142	604	1500
143	608	1496
144	612	1491
145	616	1487
146	620	1482
147	625	1478
148	629	1473
149	633	1469
150	637	1463
151	640	1458
152	645	1454
153	649	1450
154	652	1444
155	656	1438
156	659	1433
157	663	1428
158	667	1422
159	671	1417
160	674	1412
161	678	1407
162	682	1402
163	686	1398
164	690	1393
165	694	1388
166	698	1383
167	702	1379
168	705	1374
169	709	1368
170	713	1364
171	717	1359
172	720	1354
173	724	1348
174	727	1343
175	731	1338
176	735	1333
177	739	1329
178	743	1324
179	747	1320
180	751	1316
181	755	1311
182	759	1307
183	763	1302
184	767	1297
185	770	1292
186	774	1288
187	778	1283
188	782	1278
189	785	1273
190	789	1269
191	793	1264
192	797	1260
193	800	1255
194	804	1250
195	808	1245
196	812	1241
197	816	1236
198	819	1231
199	823	1227
200	827	1222
201	830	1217
202	835	1213
203	839	1209
204	842	1204
205	846	1200
206	850	1196
207	854	1191
208	858	1186
209	861	1181
210	866	1178
211	870	1173
212	873	1168
213	877	1164
214	881	1159
215	885	1155
216	888	1150
217	892	1146
218	896	1142
219	900	1137
220	903	1133
221	907	1128
222	912	1124
223	916	1120
224	920	1116
225	923	1111
226	927	1107
227	931	1102
228	935	1098
229	939	1094
230	943	1090
231	947	1086
232	951	1081
233	955	1077
234	959	1073
235	962	1069
236	966	1064
237	970	1060
238	974	1055
239	978	1051
240	982	1047
241	985	1042
242	989	1038
243	993	1034
244	997	1029
245	1000	1025
246	1004	1020
247	1007	1015
248	1011	1011
249	1015	1006
250	1018	1002
251	1022	998
252	1026	993
253	1030	989
254	1034	985
255	1037	981
256	1041	976
257	1045	972
258	1049	968
259	1053	964
260	1057	959
261	1060	955
262	1064	951
263	1069	947
264	1072	943
265	1076	939
266	1080	934
267	1084	930
268	1087	925
269	1091	921
270	1095	917
271	1099	913
272	1103	909
273	1107	905
274	1110	900
275	1114	896
276	1118	892
277	1122	887
278	1125	883
279	1129	879
280	1133	875
281	1137	871
282	1141	866
283	1145	862
284	1148	858
285	1152	854
286	1156	850
287	1160	845
288	1163	841
289	1167	837
290	1171	833
291	1174	828
292	1178	824
293	1182	820
294	1186	816
295	1190	812
296	1193	808
297	1197	803
298	1201	799
299	1205	795
300	1208	790
301	1212	786
302	1216	782
303	1219	778
304	1223	774
305	1227	770
306	1231	766
307	1235	762
308	1239	758
309	1243	754
310	1247	750
311	1251	746
312	1255	741
313	1258	737
314	1262	733
315	1266	729
316	1270	725
317	1273	721
318	1277	717
319	1282	713
320	1285	708
321	1289	704
322	1293	700
323	1296	696
324	1300	692
325	1304	688
326	1308	684
327	1311	679
328	1316	676
329	1319	671
330	1323	667
331	1327	663
332	1331	659
333	1335	655
334	1340	652
335	1344	648
336	1348	644
337	1352	640
338	1356	636
339	1360	632
340	1364	628
341	1369	624
342	1373	620
343	1377	616
344	1381	612
345	1386	608
346	1390	604
347	1394	601
348	1398	597
349	1402	593
350	1406	589
351	1410	585
352	1415	581
353	1418	577
354	1423	573
355	1427	569
356	1432	565
357	1436	561
358	1441	557
359	1445	554
360	1449	550
361	1453	545
362	1457	542
363	1461	538
364	1465	534
365	1470	530
366	1474	526
367	1479	522
368	1483	518
369	1488	514
370	1492	510
371	1496	506
372	1501	503
373	1505	499
374	1509	495
375	1513	491
376	1517	486
377	1520	482
378	1525	478
379	1529	474
380	1533	470
381	1537	466
382	1541	462
383	1544	458
384	1548	454
385	1552	450
386	1556	446
387	1560	442
388	1564	438
389	1568	434
390	1571	430
391	1575	426
392	1579	422
393	1583	417
394	1586	413
395	1590	409
396	1594	405
397	1598	401
398	1602	397
399	1606	393
400	1610	389
401	1614	385
402	1617	381
403	1621	377
404	1624	373
405	1628	369
406	1632	365
407	1635	360
408	1639	356
409	1643	352
410	1647	348
411	1651	344
412	1654	340
413	1658	336
414	1662	332
415	1666	328
416	1670	324
417	1673	320
418	1677	316
419	1681	312
420	1685	308
421	1688	304
422	1692	300
423	1696	296
424	1700	292
425	1703	287
426	1707	283
427	1710	279
428	1714	275
429	1718	271
430	1722	267
431	1726	263
432	1729	259
433	1733	255
434	1737	251
435	1741	247
436	1744	243
437	1748	239
438	1752	235
439	1756	231
440	1759	227
441	1763	223
442	1767	219
443	1771	215
444	1775	211
445	1779	207
446	1783	203
447	1786	199
448	1790	195
449	1794	191
450	1797	187
451	1801	183
452	1805	179
453	1809	175
454	1813	171
455	1817	167
456	1821	163
457	1825	159
458	1829	155
459	1832	151
460	1836	147
461	1840	143
462	1844	139
463	1848	135
464	1852	131
465	1856	127
466	1860	123
467	1864	119
468	1868	115
469	1871	111
470	1875	107
471	1879	103
472	1882	99
473	1886	95
474	1890	91
475	1894	87
476	1898	83
477	1902	79
478	1906	75
479	1910	71
480	1914	67
481	1918	63
482	1922	59
483	1926	55
484	1930	51
485	1934	47
486	1938	43
487	1942	39
488	1946	35
489	1949	31
490	1953	27
491	1956	23
492	1960	19
493	1964	15
494	1968	11
495	1972	7
496	1976	3
497	1980	0
