iter	RMSE
0	2.986881736
1	2.906633286
2	2.831657031
3	2.762877652
4	2.697502576
5	2.637646251
6	2.581650957
7	2.528929521
8	2.479864555
9	2.435186044
10	2.393718361
11	2.355252157
12	2.31941948
13	2.284864969
14	2.254115566
15	2.224721825
16	2.197654693
17	2.17375424
18	2.150642457
19	2.12901366
20	2.109920378
21	2.092560021
22	2.0761362
23	2.061065703
24	2.047030007
25	2.033470554
26	2.020383341
27	2.008330486
28	1.997578206
29	1.987449698
30	1.978142652
31	1.969978868
32	1.961624992
33	1.954543112
34	1.947695161
35	1.941505289
36	1.935452296
37	1.930194183
38	1.924908569
39	1.920197758
40	1.916226814
41	1.912234076
42	1.908559255
43	1.905219702
44	1.902067728
45	1.899191601
46	1.89646583
47	1.894035914
48	1.891547988
49	1.889402578
50	1.887263985
51	1.885430537
52	1.883539138
53	1.88184779
54	1.880351464
55	1.878522095
56	1.877112971
57	1.875788036
58	1.874241015
59	1.873079645
60	1.872022105
61	1.870756871
62	1.869848739
63	1.868999255
64	1.867997798
65	1.867036343
66	1.866356883
67	1.865353195
68	1.864468138
69	1.863747043
70	1.862930343
71	1.862132886
72	1.861495085
73	1.861040783
74	1.860474242
75	1.859689591
76	1.859123124
77	1.858347714
78	1.857922377
79	1.857467861
80	1.856966918
81	1.856459766
82	1.855845859
83	1.855508093
84	1.854954586
85	1.854595166
86	1.85409856
87	1.853722174
88	1.853314111
89	1.853012122
90	1.852596389
91	1.852320343
92	1.85194794
93	1.851632899
94	1.851287937
95	1.85094635
96	1.850385407
97	1.85013141
98	1.849771706
99	1.849561407
100	1.849169995
101	1.848846043
102	1.848579547
103	1.848040071
104	1.847733663
105	1.84745808
106	1.847159136
107	1.846901608
108	1.846642844
109	1.846315562
110	1.846028953
111	1.845781789
112	1.845717295
113	1.845585513
114	1.845402125
115	1.844931245
116	1.844816061
117	1.844448593
118	1.844162599
119	1.843988511
120	1.84360293
121	1.8433704
122	1.843232586
123	1.842927544
124	1.842518561
125	1.842348152
126	1.842142975
127	1.841876208
128	1.841634464
129	1.841329874
130	1.841184091
131	1.841019678
132	1.840715353
133	1.840471421
134	1.840224792
135	1.839997054
136	1.83975253
137	1.839577042
138	1.839379902
139	1.839045288
140	1.83872446
141	1.838445477
142	1.838310744
143	1.838155136
144	1.838055327
145	1.837840154
146	1.837584173
147	1.837510402
148	1.837361382
149	1.837150104
150	1.836865229
151	1.836575031
152	1.836455376
153	1.836254985
154	1.836088246
155	1.835895357
156	1.835742812
157	1.835530417
158	1.835307827
159	1.83507939
160	1.834967902
161	1.834818454
162	1.834621539
163	1.834416733
164	1.834190956
165	1.834128823
166	1.833919224
167	1.83379003
168	1.833592904
169	1.833302729
170	1.832971291
171	1.832629048
172	1.832474306
173	1.832295514
174	1.83200298
175	1.831900017
176	1.83170978
177	1.831335113
178	1.831129625
179	1.830845776
180	1.830656701
181	1.830515648
182	1.830310017
183	1.830209636
184	1.830003436
185	1.829854058
186	1.829784421
187	1.829677797
188	1.829556682
189	1.829460825
190	1.829334022
191	1.829121773
192	1.828779968
193	1.828517966
194	1.828436397
195	1.828225866
196	1.828082255
197	1.82793716
198	1.827715032
199	1.827579429
200	1.827375812
201	1.827279758
202	1.82719123
203	1.827100425
204	1.826733548
205	1.826533063
206	1.826302049
207	1.826163926
208	1.825869907
209	1.825766997
210	1.825528492
211	1.825438814
212	1.825294314
213	1.825035032
214	1.824939898
215	1.824726987
216	1.824550744
217	1.824464702
218	1.824339025
219	1.824057397
220	1.823787735
221	1.823630792
222	1.823511752
223	1.823441233
224	1.82334457
225	1.823101467
226	1.822847972
227	1.822697412
228	1.822508229
229	1.822310728
230	1.82209448
231	1.822011581
232	1.82183271
233	1.821711946
234	1.821574138
235	1.821295092
236	1.821146999
237	1.821050611
238	1.820800821
239	1.820689613
240	1.820595136
241	1.820345571
242	1.820132294
243	1.819993154
244	1.81983339
245	1.819492753
246	1.81939537
247	1.819046696
248	1.818881833
249	1.818802321
250	1.818719469
251	1.818526934
252	1.818394719
253	1.818297122
254	1.81799597
255	1.817655707
256	1.81758368
257	1.817388126
258	1.817310719
259	1.817196472
260	1.817060015
261	1.816688098
262	1.816465649
263	1.816299516
264	1.816037992
265	1.815856416
266	1.815636732
267	1.815528419
268	1.815418615
269	1.815148779
270	1.815028383
271	1.814799001
272	1.814658412
273	1.814439818
274	1.814325066
275	1.81422982
276	1.814053571
277	1.813966607
278	1.813785659
279	1.813623628
280	1.813436683
281	1.813350031
282	1.813111374
283	1.813047006
284	1.812871154
285	1.812755014
286	1.812439558
287	1.812180113
288	1.812038538
289	1.81179812
290	1.811674342
291	1.811507621
292	1.811365047
293	1.811283777
294	1.811184431
295	1.81093903
296	1.810729508
297	1.81045304
298	1.810348859
299	1.810180878
300	1.809946723
301	1.809716089
302	1.809461952
303	1.809384497
304	1.809233184
305	1.809086073
306	1.808868251
307	1.808745833
308	1.808520032
309	1.808370564
310	1.808240303
311	1.808094773
312	1.807859512
313	1.807749813
314	1.80768401
315	1.807537745
316	1.807472816
317	1.807229401
318	1.807016706
319	1.806788183
320	1.806533104
321	1.806376346
322	1.80634613
323	1.806193378
324	1.805995404
325	1.8057732
326	1.805555406
327	1.805299489
328	1.805194994
329	1.80510696
330	1.80499963
331	1.80483766
332	1.804599446
333	1.804338031
334	1.804079649
335	1.803881129
336	1.80367703
337	1.803502584
338	1.803323513
339	1.803059548
