iter	Passed	Remaining
0	68	68687
1	78	39301
2	91	30386
3	101	25321
4	112	22387
5	122	20278
6	133	18910
7	145	18101
8	154	17029
9	164	16247
10	174	15704
11	185	15267
12	195	14811
13	203	14353
14	213	14003
15	221	13627
16	230	13342
17	239	13077
18	248	12845
19	256	12578
20	265	12381
21	274	12190
22	282	12012
23	291	11867
24	300	11727
25	309	11580
26	317	11428
27	324	11268
28	332	11147
29	341	11038
30	350	10942
31	357	10828
32	365	10713
33	373	10619
34	381	10518
35	389	10422
36	396	10323
37	405	10264
38	413	10184
39	419	10077
40	427	10005
41	435	9935
42	443	9869
43	451	9815
44	459	9742
45	466	9673
46	474	9618
47	480	9539
48	488	9487
49	496	9427
50	502	9352
51	511	9317
52	519	9282
53	527	9241
54	536	9211
55	544	9177
56	552	9143
57	560	9100
58	568	9072
59	577	9044
60	584	8999
61	593	8977
62	601	8942
63	609	8911
64	617	8875
65	625	8846
66	633	8824
67	642	8802
68	650	8776
69	658	8748
70	666	8719
71	673	8682
72	682	8664
73	690	8637
74	697	8606
75	706	8588
76	715	8576
77	723	8557
78	731	8527
79	739	8501
80	747	8476
81	754	8451
82	762	8425
83	770	8407
84	778	8378
85	786	8358
86	795	8344
87	804	8333
88	812	8313
89	819	8286
90	828	8279
91	838	8272
92	847	8263
93	855	8247
94	863	8224
95	873	8227
96	885	8240
97	893	8220
98	900	8197
99	909	8184
100	916	8158
101	925	8148
102	932	8124
103	941	8113
104	951	8108
105	959	8089
106	967	8076
107	976	8062
108	985	8054
109	993	8040
110	1001	8020
111	1009	8000
112	1016	7979
113	1024	7959
114	1031	7940
115	1039	7920
116	1047	7907
117	1055	7892
118	1062	7863
119	1070	7851
120	1078	7833
121	1089	7843
122	1099	7839
123	1107	7823
124	1115	7809
125	1123	7791
126	1129	7766
127	1138	7755
128	1146	7738
129	1154	7726
130	1162	7710
131	1170	7695
132	1178	7679
133	1185	7663
134	1193	7645
135	1201	7635
136	1212	7634
137	1220	7621
138	1229	7614
139	1238	7606
140	1246	7591
141	1254	7581
142	1262	7563
143	1269	7549
144	1276	7529
145	1284	7514
146	1292	7498
147	1300	7487
148	1308	7473
149	1317	7463
150	1326	7455
151	1335	7448
152	1343	7435
153	1350	7418
154	1357	7399
155	1366	7391
156	1374	7378
157	1381	7361
158	1389	7350
159	1399	7345
160	1407	7333
161	1416	7328
162	1425	7317
163	1432	7304
164	1440	7287
165	1447	7273
166	1455	7261
167	1463	7246
168	1471	7236
169	1479	7225
170	1486	7208
171	1495	7197
172	1502	7183
173	1511	7174
174	1518	7160
175	1527	7150
176	1535	7137
177	1542	7121
178	1550	7110
179	1558	7100
180	1567	7091
181	1574	7078
182	1582	7065
183	1590	7051
184	1598	7040
185	1606	7032
186	1615	7025
187	1623	7013
188	1632	7003
189	1641	6995
190	1649	6988
191	1658	6980
192	1667	6970
193	1675	6959
194	1682	6944
195	1690	6936
196	1697	6920
197	1706	6910
198	1714	6899
199	1722	6889
200	1729	6873
201	1737	6862
202	1746	6856
203	1753	6843
204	1763	6837
205	1770	6825
206	1780	6820
207	1787	6805
208	1795	6794
209	1802	6782
210	1811	6775
211	1820	6766
212	1828	6755
213	1836	6744
214	1844	6735
215	1853	6727
216	1863	6722
217	1870	6710
218	1879	6700
219	1887	6691
220	1896	6685
221	1903	6670
222	1913	6666
223	1921	6656
224	1930	6649
225	1941	6647
226	1950	6642
227	1959	6633
228	1966	6620
229	1974	6610
230	1983	6602
231	1991	6592
232	1999	6583
233	2008	6574
234	2016	6565
235	2026	6559
236	2034	6550
237	2042	6540
238	2051	6531
239	2060	6523
240	2069	6517
241	2078	6511
242	2088	6505
243	2095	6492
244	2104	6485
245	2111	6472
246	2120	6463
247	2129	6457
248	2137	6447
249	2145	6436
250	2152	6424
251	2161	6414
252	2169	6405
253	2176	6392
254	2187	6389
255	2195	6381
256	2203	6371
257	2212	6363
258	2221	6355
259	2229	6344
260	2238	6338
261	2248	6332
262	2257	6326
263	2265	6317
264	2274	6308
265	2282	6298
266	2291	6290
267	2299	6280
268	2306	6267
269	2314	6258
270	2324	6252
271	2332	6244
272	2340	6233
273	2349	6226
274	2358	6216
275	2364	6203
276	2374	6196
277	2380	6183
278	2389	6174
279	2397	6166
280	2406	6158
281	2413	6146
282	2422	6137
283	2429	6126
284	2439	6120
285	2446	6106
286	2454	6098
287	2463	6091
288	2470	6078
289	2479	6071
290	2487	6061
291	2496	6053
292	2504	6042
293	2512	6032
294	2521	6026
295	2530	6019
296	2539	6010
297	2546	5999
298	2552	5985
299	2560	5974
300	2570	5969
301	2579	5962
302	2588	5953
303	2595	5942
304	2605	5936
305	2614	5930
306	2623	5922
307	2632	5914
308	2639	5902
309	2647	5892
310	2653	5878
311	2661	5869
312	2670	5861
313	2677	5850
314	2684	5837
315	2693	5829
316	2700	5818
317	2708	5809
318	2717	5801
319	2726	5794
320	2735	5787
321	2745	5779
322	2751	5767
323	2758	5756
324	2765	5744
325	2774	5736
326	2784	5729
327	2793	5723
328	2800	5712
329	2807	5700
330	2817	5694
331	2826	5687
332	2835	5679
333	2844	5671
334	2851	5660
335	2857	5646
336	2865	5637
337	2873	5627
338	2881	5618
339	2891	5612
340	2901	5606
341	2910	5599
342	2918	5590
343	2928	5584
344	2935	5572
345	2944	5565
346	2953	5558
347	2962	5550
348	2970	5541
349	2977	5528
350	2985	5519
351	2994	5512
352	3002	5503
353	3010	5494
354	3018	5485
355	3027	5477
356	3034	5465
357	3041	5454
358	3049	5445
359	3059	5438
360	3067	5430
361	3074	5419
362	3081	5407
363	3089	5398
364	3097	5389
365	3105	5379
366	3113	5370
367	3121	5361
368	3131	5354
369	3138	5343
370	3147	5335
371	3155	5327
372	3164	5319
373	3172	5309
374	3180	5300
375	3188	5291
376	3197	5283
377	3206	5276
378	3216	5269
379	3223	5259
380	3231	5250
381	3239	5241
382	3246	5229
383	3255	5221
384	3264	5215
385	3272	5205
